datetime_utc,dry_bulb_c
1987-01-23T18:45:00.000000+0000,2.0
1987-01-24T06:45:00.000000+0000,1.0
1987-01-24T07:45:00.000000+0000,4.0
1987-01-24T08:45:00.000000+0000,4.0
1987-01-24T09:45:00.000000+0000,4.0
1987-01-24T10:45:00.000000+0000,4.0
1987-01-24T11:45:00.000000+0000,4.0
1987-01-24T12:45:00.000000+0000,4.0
1987-01-25T15:45:00.000000+0000,-1.0
1987-01-25T16:45:00.000000+0000,0.0
1987-01-26T07:45:00.000000+0000,-3.0
1987-01-26T09:45:00.000000+0000,-4.0
1987-01-26T10:45:00.000000+0000,-2.0
1987-01-26T11:45:00.000000+0000,-2.0
1987-01-26T13:50:00.000000+0000,-2.0
1987-01-26T16:50:00.000000+0000,-3.0
1987-01-26T17:50:00.000000+0000,-3.0
1987-01-26T18:50:00.000000+0000,-4.0
1987-01-27T06:45:00.000000+0000,-6.0
1987-01-27T07:45:00.000000+0000,-5.0
1987-01-27T10:45:00.000000+0000,-3.0
1987-01-27T11:45:00.000000+0000,-4.0
1987-01-27T13:50:00.000000+0000,-4.0
1987-01-27T14:50:00.000000+0000,-4.0
1987-01-27T16:50:00.000000+0000,-5.0
1987-01-28T06:50:00.000000+0000,-7.0
1987-01-28T07:50:00.000000+0000,-7.0
1987-01-28T08:50:00.000000+0000,-7.0
1987-01-28T09:50:00.000000+0000,-7.0
1987-01-28T14:20:00.000000+0000,-6.0
1987-01-28T15:50:00.000000+0000,-6.0
1987-01-28T16:50:00.000000+0000,-7.0
1987-01-28T17:50:00.000000+0000,-7.0
1987-01-29T06:45:00.000000+0000,-4.0
1987-01-29T07:45:00.000000+0000,
1987-01-29T08:45:00.000000+0000,
1987-01-29T09:45:00.000000+0000,
1987-01-29T12:45:00.000000+0000,-3.0
1987-01-29T13:50:00.000000+0000,-5.0
1987-01-29T15:50:00.000000+0000,-3.0
1987-01-29T16:50:00.000000+0000,-2.0
1987-01-29T17:50:00.000000+0000,-2.0
1987-01-29T18:50:00.000000+0000,-1.0
1987-01-30T07:45:00.000000+0000,2.0
1987-01-30T08:45:00.000000+0000,2.0
1987-01-30T10:45:00.000000+0000,2.0
1987-01-30T11:45:00.000000+0000,
1987-01-30T12:50:00.000000+0000,2.0
1987-01-30T13:50:00.000000+0000,2.0
1987-01-30T15:50:00.000000+0000,2.0
1987-01-30T16:50:00.000000+0000,1.0
1987-01-30T17:50:00.000000+0000,1.0
1987-01-31T06:50:00.000000+0000,-1.0
1987-01-31T07:50:00.000000+0000,-2.0
1987-01-31T08:50:00.000000+0000,0.0
1987-01-31T09:50:00.000000+0000,-1.0
1987-01-31T10:50:00.000000+0000,1.0
1987-01-31T12:50:00.000000+0000,0.0
1987-01-31T13:50:00.000000+0000,-1.0
1987-02-01T15:50:00.000000+0000,2.0
1987-02-01T16:50:00.000000+0000,2.0
1987-02-01T17:50:00.000000+0000,2.0
1987-02-02T06:50:00.000000+0000,4.0
1987-02-02T08:50:00.000000+0000,4.0
1987-02-02T09:50:00.000000+0000,4.0
1987-02-02T10:50:00.000000+0000,4.0
1987-02-02T11:50:00.000000+0000,4.0
1987-02-02T12:50:00.000000+0000,4.0
1987-02-02T13:45:00.000000+0000,4.0
1987-02-02T15:45:00.000000+0000,5.0
1987-02-02T17:45:00.000000+0000,4.0
1987-02-02T18:45:00.000000+0000,4.0
1987-02-03T06:50:00.000000+0000,4.0
1987-02-03T07:50:00.000000+0000,4.0
1987-02-03T08:50:00.000000+0000,4.0
1987-02-03T09:50:00.000000+0000,3.0
1987-02-03T10:50:00.000000+0000,4.0
1987-02-03T14:45:00.000000+0000,4.0
1987-02-03T15:45:00.000000+0000,4.0
1987-02-03T16:45:00.000000+0000,3.0
1987-02-03T17:45:00.000000+0000,3.0
1987-02-04T06:45:00.000000+0000,2.0
1987-02-04T08:45:00.000000+0000,2.0
1987-02-04T14:45:00.000000+0000,2.0
1987-02-04T15:45:00.000000+0000,2.0
1987-02-04T16:45:00.000000+0000,2.0
1987-02-04T17:45:00.000000+0000,2.0
1987-02-05T06:20:00.000000+0000,0.0
1987-02-05T07:50:00.000000+0000,0.0
1987-02-05T09:50:00.000000+0000,0.0
1987-02-05T10:50:00.000000+0000,-1.0
1987-02-05T12:50:00.000000+0000,-1.0
1987-02-05T13:45:00.000000+0000,-1.0
1987-02-05T14:45:00.000000+0000,-1.0
1987-02-05T15:45:00.000000+0000,-1.0
1987-02-05T16:45:00.000000+0000,-1.0
1987-02-05T17:45:00.000000+0000,-1.0
1987-02-05T18:45:00.000000+0000,-2.0
